교차로코드,교차로명칭,지번,X좌표,Y좌표
1302,삼성산성지,321-12 천,193773.5897,539911.4272
1304,난향삼거리(연등),산87-11도,193419.8665,540179.9209
1327,대우당약국,1000-118도,191675.0519,539051.3258
1454,수동물병원(연등)2,442-185도,190062.5083,544145.2164
1300,삼성동자치회관,310-5도,193953.2992,540500.194
1305,인헌초교,1679-9 대,196378.739,541868.058
1309,금천경찰서(연등)1,543도,192240.1083,542444.5348
1328,은행나무사거리,1000-99도,191682.6575,539208.2022
1329,은행나무사거리(연등),1000-101도,191768.7856,539161.4689
1330,관악농협,1000-123구,192011.4302,539037.6229
1355,문성골길입구(연등),961-6대,191460.564,541731.0172
1479,다정슈퍼,833-13대,191179.9642,543367.41
1363,미성초교(연등),1642-1 도,192366.4625,542011.2665
1307,낙성현대홈타운,0-61 가,196795.2,542241.6951
1308,호림박물관입구,526도,192780.9182,542565.6446
1310,제이타워웨딩,1722 대,192059.1054,542404.4426
1403,남문시장입구,980-28대,191203.3463,541321.2208
5103,법장사,20-3도,207448.0934,557252.7784
1311,금천수요양병원,569-48대,191742.298,542332.1719
1410,금천구청역,113-77철,190685.6136,539623.0418
1417,디지털학교,147-76 대,190764.172,541469.4585
1686,상도터널,2-16대,195537.6893,544968.7088
1687,한국금융안전(연등),600-86대,192132.0303,543082.4984
1688,문창초교,산 143 공,192255.4572,543132.9741
1480,다정슈퍼(연등),854-23대,191268.8951,543467.4615
1331,범일운수(연등)1,218-9대,192167.3099,539007.6639
1695,압구정현대아파트,475 도,202668.1973,547623.1058
1699,청담초교,505 공,203870.1036,547504.9186
1702,강남을지병원(연등),279-16 도,202317.4992,546605.4668
1332,동일여고,266-2363대,192405.5338,538964.6662
1700,청담초교정문(경보),144 도,203894.4585,547582.6981
1706,학동(연등)2,668-6 도,203303.4851,547019.1938
1333,벽산6단지입구,1010-18도,192739.9017,538936.5759
1334,도성교회,1010-18도,192889.9011,538955.8565
4695,우면교(경보),624공,202651.1355,541553.9391
1431,제일제당앞,1258대,188910.639,544486.0169
1335,관악벽산타운1단지,산100-1임,192992.2673,539228.8946
1336,난곡사,산93-8 도,193118.5924,539926.4865
1337,중앙사약국,846-11대,191437.9292,539394.7248
1338,시흥초교후문(연등),1000-85도,191695.5579,539369.5311
1689,래미안영등포110동,299-1 학,191638.7577,545082.3611
1707,학동(연등)1,77-6 도,203653.897,547108.6338
1428,신도림SK뷰,646 대,189956.7259,545366.4685
1340,시흥초교후문,810-30대,191674.446,539516.4795
1341,안씨묘입구(연등)2,812-2대,191653.1046,539651.1751
1455,동구로초교(연등)2,65도,190259.5875,543841.4409
1342,안씨묘입구,1000-18도,191637.8373,539762.1672
1439,오류역입구,55-1도,186235.9862,544102.2554
1456,동구로초교,136-14도,190338.3409,543715.89
1708,경원하이츠텔,145 도,203948.3891,547154.1198
2931,강서구청사거리(연등),128-3도,187012.5746,550858.7903
1709,원앙예식장,110-3 대,204446.267,547232.0856
1343,법원단지,1000-2도,191595.5989,540014.002
1710,영동대교남단(연등)1,77 도,204666.9615,547262.6897
1345,시흥4동사거리,1081-20도,191511.3712,540373.8775
