교차로코드,교차로명칭,X좌표,Y좌표
1302,삼성산성지,37.45859843,126.92962460
1304,난향삼거리(연등),37.46101514,126.92562418
1327,대우당약국,37.45083230,126.90591514
1454,수동물병원(연등)2,37.49671277,126.88762223
1300,삼성동자치회관,37.46390447,126.93165098
1305,인헌초교,37.47624175,126.95906027
1309,금천경찰서(연등)1,37.48141038,126.91226543
1328,은행나무사거리,37.45224585,126.90599933
1329,은행나무사거리(연등),37.45182555,126.90697325
1330,관악농협,37.45071181,126.90971689
1355,문성골길입구(연등),37.47497465,126.90346006
1479,다정슈퍼,37.48971604,126.90026824
1363,미성초교(연등),37.47750765,126.91369850
1307,낙성현대홈타운,37.47960979,126.96376689
1308,호림박물관입구,37.48250597,126.91837872
1310,제이타워웨딩,37.48104761,126.91021942
1403,남문시장입구,37.47127994,126.90055706
5103,법장사,37.61483489,127.08435956
1311,금천수요양병원,37.48039366,126.90663838
1410,금천구청역,37.45597410,126.89472575
1417,디지털학교,37.47261129,126.89559051
1686,상도터널,37.50417516,126.94953309
1687,한국금융안전(연등),37.48715756,126.91103667
1688,문창초교,37.48761339,126.91243173
1480,다정슈퍼(연등),37.49061835,126.90127263
1331,범일운수(연등)1,37.45044320,126.91147888
1695,압구정현대아파트,37.52809830,127.03018586
1699,청담초교,37.52702917,127.04378264
1702,강남을지병원(연등),37.51893029,127.02621513
1332,동일여고,37.45005777,126.91417161
1700,청담초교정문(경보),37.52772986,127.04405858
1706,학동(연등)2,37.52265498,127.03737028
1333,벽산6단지입구,37.44980736,126.91795072
1334,도성교회,37.44998225,126.91964574
4695,우면교(경보),37.47341480,127.02997097
1431,제일제당앞,37.49977029,126.87459125
1335,관악벽산타운1단지,37.45244314,126.92080002
1336,난곡사,37.45872947,126.92222122
1337,중앙사약국,37.45392421,126.90323131
1338,시흥초교후문(연등),37.45369956,126.90614331
1689,래미안영등포110동,37.50517210,126.90543652
1707,학동(연등)1,37.52345952,127.04133472
1428,신도림SK뷰,37.50771516,126.88640932
1340,시흥초교후문,37.45502339,126.90590305
1341,안씨묘입구(연등)2,37.45623682,126.90566032
1455,동구로초교(연등)2,37.49397784,126.88985491
1342,안씨묘입구,37.45723674,126.90548650
1439,오류역입구,37.49627661,126.84435107
1456,동구로초교,37.49284745,126.89074710
1708,경원하이츠텔,37.52386813,127.04466640
2931,강서구청사거리(연등),37.55716417,126.85301361
1709,원앙예식장,37.52456834,127.05029915
1343,법원단지,37.45950541,126.90500623
1710,영동대교남단(연등)1,37.52484300,127.05279599
1345,시흥4동사거리,37.46274716,126.90405008
1716,강남케이블TV,37.51628568,127.03819418
1457,동구로초교(연등)1,37.49165369,126.89180473
1430,중앙유통단지,37.50116936,126.87724367
1711,논현역(연등),37.51156362,127.02279274
1717,삼성해청아파트,37.51767830,127.04375844
1348,정훈단지(연등),37.46544383,126.90223884
4209,북부시장,37.63528824,127.03175168
1718,강남세무서(연등)2,37.51791263,127.04509075
1349,독산4동사거리,37.46646543,126.90172679
1350,독산4동사거리(연등)1,37.46776534,126.90198826
4310,도봉구청,37.66818634,127.04614174
1351,독산4동사거리(연등)2,37.46885852,126.90232147
1690,한남대교남단,37.52291820,127.01989046
1352,독산4동삼거리(연등2),37.46987601,126.90267640
1356,문성골길입구,37.47623231,126.90360428
1481,대림1동새마을금고(연등)2,37.49276981,126.90366617
1353,남서울주유소(연등),37.47235163,126.90319505
1719,강남세무서,37.51815085,127.04642012
3611,하계중,37.64024752,127.07315283
1354,남서울주유소,37.47391803,126.90335794
1357,서원빌딩,37.47804201,126.90375620
1367,난곡119안전센터,37.47589908,126.91616367
1691,가로수길교차로(연등),37.52345429,127.02103236
1482,대림1동새마을금고,37.49337607,126.90434683
1301,신우초교,37.46159360,126.93196136
1358,문성중(연등)1,37.47651890,126.90599761
1360,문성중,37.47673725,126.90767020
1440,오류동삼거리,37.49484514,126.84109800
1376,은천교회,37.48805957,126.92194796
1361,난곡중(연등),37.47712452,126.91064454
1380,신사동주민센터앞,37.48486222,126.91396735
1458,구로3동새마을금고(연등)2,37.48627102,126.88744477
3946,목동초교,37.52290817,126.87289495
1382,신림현대아파트앞,37.48521589,126.90895301
1364,난곡우체국앞,37.47770536,126.91533344
1392,디지털2단지,37.47792342,126.88805097
2287,삼익그린아파트,37.55471052,127.14892822
1396,제이플라츠,37.48111084,126.88129623
1676,신풍역출구,37.50007329,126.91073521
1406,두산로입구삼거리,37.47048264,126.88785634
1365,난우지구대,37.47974454,126.91495711
1366,국민은행난곡,37.47674929,126.91566286
1409,독산역롯데캐슬아파트,37.46207458,126.89150375
1677,약산약국(연등),37.51119408,126.91270308
1459,구로3동새마을금고,37.48694305,126.88800203
1368,난우초교입구,37.47526444,126.91678490
1725,논현경복아파트(연등),37.50795459,127.03600879
1400,가산동주민센터,37.47749279,126.89157134
1720,강남세무서(연등)1,37.51839167,127.04797277
1401,두산아파트,37.47578438,126.89302887
1806,관세청입구,37.51822957,127.03525953
1678,약산약국(연등)2,37.51095628,126.91178077
1411,금천경찰서,37.45671826,126.89747774
1412,시흥동오피스빌딩,37.45356424,126.89755293
1679,영등포공원(연등),37.51356538,126.91096458
1460,구로3동한신아파트,37.48828633,126.88956275
1954,금천교,37.46485869,126.88394465
1369,세이브마트,37.47398548,126.91758226
1413,안양천삼거리,37.45489049,126.89131497
1370,남강중,37.47253248,126.91927136
1371,관악우림시장,37.47004213,126.92000523
1692,가로수길교차로,37.52411344,127.02235137
1721,청담진흥아파트,37.51924976,127.05260896
1414,안천초교,37.45768984,126.88979712
1712,논현지구대,37.51226986,127.02517003
1463,대림역,37.49224670,126.89571132
1415,독산한신아파트,37.45715542,126.88855651
752,서울여고,37.54597817,126.94629859
1303,국제산장아파트,37.46007957,126.92735787
1432,동양미래대학교,37.49958781,126.86751503
1372,영광교회,37.46699697,126.92049408
1374,봉림교(연등)2,37.48535039,126.92419445
1726,아크로힐스논현아파트,37.50916643,127.04007281
1416,문성중(연등)2,37.47690041,126.90901369
1727,삼성2동주민센터앞,37.51095107,127.04612292
1419,독산현대아파트입구(연등),37.46654255,126.89332966
1464,대림역동측,37.49295966,126.89697803
1471,IBK기업은행대림동지점,37.49825946,126.89844493
102,양남사거리,37.52226942,126.89002155
1375,창대카센터,37.48648945,126.92297319
1377,주생빌딩(연등),37.48945833,126.91852461
226,박석고개,37.62687372,126.91985511
1729,삼성힐스테이트2단지앞,37.51240255,127.05109275
1378,주생빌딩,37.48911017,126.91693669
1433,한마을아파트,37.49663580,126.86276289
1472,대림3동사거리(연등)2,37.49699564,126.89897679
1420,빅마켓금천점(연등),37.46989694,126.89611205
1693,광림교회,37.52493635,127.02401231
1421,난곡치안센터,37.47144460,126.91981294
1379,한양빌딩앞,37.48801498,126.91505309
1402,가산두산아파트,37.47495331,126.89374833
525,중계역,37.64556160,127.06389320
1422,벽산5단지입구,37.44990745,126.92090806
1730,봉은공원,37.51353573,127.05635850
1701,영동호텔,37.51759879,127.02310548
1423,시흥사거리(연등)1,37.45478750,126.90151929
1694,광림교회(연등),37.52606609,127.02628825
1731,봉은사앞,37.51383679,127.05803023
6538,연세대(연등),37.56004952,126.93794763
1404,가산디지털단지역,37.48167359,126.88299683
1442,동부제강앞(연등),37.49245874,126.83570963
1443,동부제강앞,37.49206684,126.83422048
1714,국제빌딩앞,37.51332069,127.02857024
6625,오륜주유소,37.50940763,127.14069386
1703,삼화콘덴서,37.52042982,127.03049898
1405,삼성물산,37.47422787,126.88612456
1704,삼화콘덴서(연등),37.52083783,127.03175379
1444,동부제강입구,37.49162765,126.83266529
1426,가산디지털단지역(연등),37.48063569,126.88335504
1434,영화아파트,37.49694249,126.85963793
1450,오금교남단,37.50723170,126.87469607
5961,칠궁,37.58458204,126.97275872
1473,대림우성2차아파트(연등),37.49596313,126.89941601
1474,대림1동공영주차장앞,37.49327896,126.90119825
1427,신도림대우푸르지오,37.50924645,126.88849656
1722,봉은초교,37.52049795,127.05838065
1383,조원아파트사거리,37.48369820,126.90761643
1475,대림공원,37.49168740,126.90245718
1680,신길우성2차아파트(연등)1,37.49921434,126.90995181
1445,동부제강입구(연등),37.49139327,126.83150333
6222,목화예식장(경보),37.52482529,126.89137397
6295,시흥IC,37.47895246,126.89894811
1681,신길우성2차아파트(연등)2,37.49903245,126.91256226
5660,장지프라자,37.47733457,127.12771383
1446,온수역입구(연등),37.49088122,126.82753776
1476,대림우체국,37.49002393,126.90435250
1344,법원단지(연등),37.46093625,126.90473148
1384,공단우체국,37.48369864,126.89860287
1385,공단우체국(연등)1,37.48385527,126.89708115
1696,압구정파출소,37.52912214,127.03528926
1723,르메르디앙서울호텔,37.50557465,127.02817945
1728,삼릉초교,37.51151396,127.04809561
1447,온수역입구,37.49021906,126.82587782
1448,유한공고,37.48916397,126.82449925
1429,신도림주민센터,37.50571496,126.88359881
1697,압구정한양아파트,37.52878901,127.03693304
1715,학동치안센터,37.51469957,127.03301708
1449,유한공고앞,37.48874011,126.82362392
5403,새우개고개,37.61940475,127.10467827
1362,미성초교,37.47739039,126.91278078
1386,디지털1단지,37.48457831,126.89537660
1388,대명전자삼거리,37.48234239,126.89348198
1451,구로미성아파트,37.50570346,126.87658792
1483,대림1동주민센터,37.49544547,126.90668909
1381,신림현대아파트앞(연등),37.48567563,126.91063715
1389,구로남초교,37.48406084,126.89041374
1407,독산1동천주교,37.47043332,126.89021418
1452,구로미성아파트(연등),37.50451226,126.87801556
1346,시흥4동사거리(연등)1,37.46387726,126.90328430
1408,독산역,37.46652883,126.88955888
1724,삼정호텔정문,37.50654816,127.03139327
1477,구로1교,37.48767471,126.89791088
1391,영일초교(경보),37.48449433,126.88307337
1435,한국컨벤션웨딩,37.49727681,126.85528700
1436,한영대학교,37.49789284,126.85239011
1441,온수삼거리,37.49321618,126.83745859
1705,도산공원(연등),37.52216573,127.03595745
1347,정훈단지,37.46463887,126.90278161
1437,오류IC,37.49760146,126.84695529
1683,동작상떼빌104동앞,37.48765458,126.90840490
1478,신대림한솔파크입구,37.48870908,126.89914772
1393,디지털3단지,37.47582674,126.88080834
1438,오류IC(연등),37.49680468,126.84563289
1425,벽산밸리5차,37.47704711,126.88498403
1397,독산초교,37.46647331,126.89956688
1398,한일유엔아이아파트,37.48562586,126.87650546
1306,서울대교수아파트,37.46855847,126.95793741
1698,갤러리아압구정(연등),37.52819497,127.03919085
1286,국회단지길입구,37.48619468,126.93937572
1287,국회단지길입구(연등)1,37.48628085,126.93810050
1288,GS슈퍼마켓(연등),37.47890886,126.95018504
1289,영락고교입구(연등),37.47918295,126.94749761
1290,영락고교입구,37.47933583,126.94588678
1291,E편한세상서울대입구,37.47948526,126.94448102
1312,구로전화국(연등),37.47964445,126.90259266
1314,구로디지털단지역,37.48449144,126.90278557
1315,독산고개,37.47577612,126.89859787
1316,독산고개(연등),37.47375465,126.89842813
1317,군부대앞,37.46088879,126.89812604
1318,문일중고,37.45139293,126.90185311
1319,유통상가정문,37.44378870,126.90377455
1321,박미삼거리(연등)1,37.44728656,126.90340751
1264,충무교,37.47415427,126.93554255
1322,유통상가정문(연등),37.44262357,126.90361470
1323,SK주유소,37.43742549,126.90304281
1324,석수역,37.43603574,126.90301619
1325,백산초교,37.44897839,126.90476809
1326,백산초교(연등),37.44988155,126.90568154
1453,수동물병원,37.49860664,126.88603458
1292,관악성모의원,37.47966244,126.94236554
1293,쑥고개,37.47840771,126.94000964
1294,삼성동주민센터(연등)2,37.47013274,126.93320708
1295,삼성동주민센터,37.46926919,126.93273701
1296,삼성동주민센터(연등)1,37.46781252,126.93194108
1297,미림여고(연등)1,37.46627234,126.93140562
1298,미림여고,37.46540501,126.93144479
1299,삼성동자치회관(연등)1,37.46466759,126.93150301
1684,한국금융안전,37.48713866,126.91002564
1484,대림1동주민센터(연등),37.49452262,126.90564072
1485,대림역북측,37.49443486,126.89453586
1487,거리공원입구오거리,37.50259205,126.89340227
1490,우리유앤미아파트(연등)1,37.49805474,126.88248492
1491,구로초교,37.49564343,126.88259889
1493,구로4동우체국(연등),37.49175492,126.88383691
1494,구로4동우체국,37.49054196,126.88406403
1495,구로시장(연등)2,37.48934922,126.88436896
1496,구로시장,37.48845508,126.88457727
1497,구로시장(연등)1,37.48719458,126.88508692
1498,가마산지하차도(연등),37.49058589,126.88154714
1499,가마산지하차도,37.49202655,126.88212409
1500,구로경찰서,37.49369890,126.88577449
1501,구로경찰서(연등),37.49434706,126.88707615
1502,구로구청구의회(연등),37.49488064,126.88809773
1503,영림중(연등),37.49615265,126.89055629
1504,영림중,37.49696375,126.89210095
1505,신영초교(연등),37.49847132,126.89502724
1506,신영초교,37.49900783,126.89605757
1507,SK윈윈주유소(연등),37.50129691,126.89895597
1509,신도림우성아파트,37.51251966,126.88667570
1510,신도림우성아파트(연등)1,37.51154794,126.88536485
1511,신정교(연등),37.51516783,126.88183573
1512,구로현대아파트,37.48712500,126.87743889
1513,구로1동파출소앞,37.49124844,126.87475650
7471,대일외고,37.61308561,127.01310792
1395,우림라이온즈1차,37.48007664,126.88170616
1399,광명대교남단,37.48515580,126.87358369
1461,영서중(연등),37.48889180,126.89047228
1488,거리공원입구오거리(연등)4,37.50211590,126.89365510
1516,구일초교앞(연등),37.49379457,126.87177409
1517,수동물병원(연등)1,37.49949433,126.88752296
1518,구로보건소,37.50039795,126.88925836
1519,신구로초교,37.49971124,126.88990856
1520,거리공원,37.50090160,126.89014918
1521,구로등기소,37.49899582,126.89173761
1523,태진운수,37.49903382,126.89246365
1524,한국SGI회관앞,37.50226583,126.88906426
1525,태영아파트정문,37.50482280,126.88722416
1526,미래초교,37.50435272,126.88775491
1528,구로노인종합복지관(연등),37.50486313,126.88884921
1529,구로노인종합복지관,37.50566006,126.89031038
1530,신도림풍물시장,37.50706581,126.89299445
1531,대림코오롱아파트,37.50794672,126.89494118
1533,구로롯데아파트,37.50272421,126.88447105
1536,고척시장(연등),37.50423485,126.86154701
1537,덕의초교(연등),37.50606813,126.85820731
1538,덕의초교,37.50558260,126.85704906
1540,고척119안전센터(연등)2,37.50507539,126.85577539
1541,고척근린공원,37.50399870,126.85294870
1542,세곡초교,37.50332069,126.85116747
1544,세곡초교(연등),37.50289041,126.85001694
1545,훼미리약국,37.50264048,126.84932368
1547,개봉1동사거리,37.50156017,126.84655270
1548,거성푸르뫼아파트(연등)2,37.50122844,126.84559945
1549,거성푸르뫼아파트,37.50096422,126.84480044
1550,거성푸르뫼아파트(연등)1,37.50048853,126.84350288
1552,동부골든아파트(연등)1,37.49991037,126.84208238
1553,동부골든아파트,37.49875237,126.84042752
1554,아이천국어린이집(연등),37.49791012,126.83950800
1555,아이천국어린이집,37.49703487,126.83964871
1556,오류동교회,37.49613295,126.84022486
1558,수궁동주민센터,37.49324254,126.83161189
1559,연세중앙교회,37.49323782,126.83427490
1560,수궁동성당(연등),37.49463172,126.83076676
1561,수궁동주민센터(연등),37.49320287,126.82916144
1564,온수역8번출구(연등),37.49264164,126.82351088
1387,대륭포스트타워,37.48583731,126.89634070
1489,거리공원입구오거리(연등)2,37.50222402,126.89269559
1557,연세중앙교회(연등),37.49324998,126.83577444
1565,온수역,37.49192280,126.82186390
1566,성산타운,37.48831295,126.83682294
1567,,37.48506463,126.83977112
1569,동부제강후문,37.48967182,126.83403919
1572,너부대교,37.47892579,126.84546828
1573,천왕차량사업소,37.47605753,126.84510857
1574,개봉현대아파트,37.49167360,126.85596110
1575,개웅초교입구,37.48811017,126.85629018
1576,대원주유소,37.48639605,126.85641795
1577,강동아트센터,37.50050988,126.85793755
1578,광성카센타,37.50199461,126.85912423
1579,광성카센타(연등),37.50388899,126.86058266
1580,개봉새마을금고,37.50110309,126.85092308
1581,구로변전소,37.49798870,126.88401395
1582,오류2치안센터,37.49102279,126.84076144
1583,오류지하차도,37.49257866,126.84061410
1584,오류남초교정문,37.48955984,126.83979601
1587,개봉현대홈타운210동,37.49138311,126.86350442
1588,군악대,37.50185632,126.97969951
1589,명수대현대아파트,37.50704434,126.96661296
1590,중앙대병원입구(연등),37.50860543,126.96380050
1591,한강대교남단,37.51357897,126.95605483
1592,수산시장입구,37.51343987,126.94671927
1593,노량진대성주유소,37.51376267,126.94426966
1594,동작경찰서앞,37.51367443,126.94250876
1595,청탑학원,37.51345316,126.93864162
1596,기독교TV앞,37.51326785,126.93659890
1597,솔표빌딩,37.51322977,126.92915328
1598,성애병원,37.51335408,126.92222052
1599,신길삼거리(연등)1,37.51504723,126.91770590
1600,대신시장,37.51216357,126.91696398
1602,영등포공원,37.51435444,126.91162424
1603,도림동자치회관,37.50955014,126.90777201
1604,도림초교,37.50852660,126.90550743
1605,도림사거리(연등)2,37.50743840,126.90300245
1606,신길우성1차아파트(연등),37.50575239,126.89906607
1607,성락주유소앞(연등),37.50520997,126.90238956
1608,성락빌딩앞(연등)1,37.50359848,126.90166210
