Intersection ID,East,West,South,North,Northeast,Southeast,Southwest,Northwest
4761,,,161.0,,,,,
4764,,,99.0,,,,,
2588,,89.0,,,,,,
21619,,,,,,,,271.0
2876,619.0,619.0,1329.0,1329.0,,,,
2901,,,,,739.0,,,49.0
2878,243.0,173.0,1133.0,1203.0,,,,
1946,,,,,,,,
2896,1420.0,1420.0,,,,230.0,,230.0
2900,,,,,,,,
2407,,,,,,,293.0,
4755,,,,340.0,,,,
2382,,,,,,1165.0,,
1383,,,79.0,,,,,
1226,39.0,,419.0,809.0,,,,
2430,36001.0,36001.0,36001.0,36001.0,,,,
402,,,36001.0,36001.0,36001.0,,36001.0,
20414,,36001.0,,,,,,
426,,,,,,191.0,251.0,
673,,,451.0,,,451.0,451.0,
4789,,,,,,107.0,1027.0,
467,1107.0,,,,,,,
1109,,,,,1035.0,105.0,1035.0,105.0
470,,,,,993.0,203.0,73.0,133.0
20470,,,,,995.0,,,
1923,,,,,,,369.0,
3955,,,,,1475.0,55.0,,55.0
4553,,,,,47.0,27.0,,
1296,,,,,,,,
3828,,,,,989.0,69.0,989.0,69.0
4674,,,,,,,,
3826,,,,,87.0,87.0,,87.0
1219,,,,,,,,727.0
2688,,,,,,,87.0,
2261,,,,,,,85.0,
3665,,,,,,,23.0,103.0
3633,,,,,185.0,555.0,185.0,985.0
23600,,,,,,,,36001.0
4838,,,,,,,,315.0
22421,,,,,,,,669.0
1283,,,,,,173.0,,
3765,,,,,,125.0,,
24822,,,,,,,,36001.0
653,,,,,,36001.0,36001.0,36001.0
23014,,,,,,,36001.0,
3000,,,36001.0,36001.0,36001.0,,36001.0,
23305,,,,36001.0,,,,
3006,36001.0,36001.0,36001.0,36001.0,,,,
3980,36001.0,36001.0,36001.0,36001.0,,,,
3981,,36001.0,,,,,,
23969,180.0,,,,,,,
79,,,,,,,,269.0
22960,,36001.0,,,,,,
369,36001.0,36001.0,,,,,,
3840,,,36001.0,36001.0,,,,
1446,,,,,,36001.0,36001.0,
2952,,,,,,,,36001.0
32952,,,,,,,36001.0,
2950,,36001.0,36001.0,,,,,
3018,,,,36001.0,,,,
1123,36001.0,36001.0,36001.0,36001.0,,,,
4973,,,36001.0,,,,,
2975,,,36001.0,,,,,
2974,,,36001.0,,,,,
3001,36001.0,36001.0,36001.0,,,,,
23028,,,,,,,,36001.0
23033,,,582.0,,,,,
2961,36001.0,,36001.0,36001.0,,,36001.0,
2948,,36001.0,,,,,,
2947,36001.0,36001.0,36001.0,36001.0,,36001.0,,
22947,,36001.0,,,,,,
22966,,36001.0,,,,,,
3032,,36001.0,36001.0,36001.0,,,,
3040,36001.0,,,,,,,
2951,36001.0,,36001.0,36001.0,,,36001.0,
2214,36001.0,36001.0,,,,36001.0,,36001.0
2216,,,,,36001.0,,,
3004,36001.0,,,,,,,
23045,,36001.0,,,,,,
2417,,36001.0,,,,,,
2953,36001.0,36001.0,360.0,360.0,,,,
3030,,,,,36001.0,36001.0,36001.0,36001.0
2946,36001.0,36001.0,36001.0,36001.0,,,,
2967,36001.0,,36001.0,36001.0,,,36001.0,
173,,36001.0,,,,,,
32984,36001.0,,,,,,,
2956,36001.0,36001.0,36001.0,36001.0,,,,
3019,36001.0,36001.0,36001.0,36001.0,,,,
3049,36001.0,36001.0,,,,36001.0,,36001.0
3211,36001.0,36001.0,36001.0,36001.0,,,,
3051,36001.0,36001.0,,,,,,
800,36001.0,36001.0,36001.0,,,,,
1850,703.0,,403.0,403.0,,,,
2691,559.0,559.0,,,,,,
1619,,,,,,,,281.0
1537,,,,,223.0,123.0,223.0,123.0
929,,,,,,,,36001.0
1574,,,763.0,,,,,
3180,21.0,21.0,,,,,,1301.0
1814,,,,155.0,,,,
1818,,,165.0,,,,,
1839,223.0,223.0,,,,,,
1863,179.0,179.0,889.0,889.0,,,,
1620,,,57.0,,,,,
1819,495.0,495.0,395.0,395.0,,,,
1817,209.0,209.0,209.0,209.0,,,,
1821,843.0,843.0,303.0,303.0,,,,
21821,,91.0,,,,,,
1812,,,59.0,1209.0,769.0,,59.0,
1865,,,36001.0,36001.0,36001.0,,36001.0,
4762,803.0,,3.0,,,,,
4760,,,867.0,,,,,
4761,,,171.0,,,,,
4763,,,3.0,,,,,
1816,,,785.0,,,,,
157,,,,161.0,,,,
1820,801.0,801.0,351.0,301.0,,,,
4765,,,267.0,,,,,
4764,,,109.0,,,,,
2588,,99.0,,,,,,
22588,,,,,,,,
2697,,83.0,,,,,,
4552,,,143.0,,,,,
640,,,939.0,,,,,
151,315.0,315.0,235.0,995.0,,,,
2580,497.0,497.0,497.0,497.0,,,,
2428,,,,,1323.0,123.0,,
3457,,,,,1215.0,,,
20985,,,,,,36001.0,,
2308,,,,,,417.0,,
1866,,,,,415.0,415.0,,415.0
1867,,,,,,365.0,,
1830,563.0,563.0,563.0,563.0,,,,
21830,,563.0,,,,,,
156,,,,,,,113.0,
1851,423.0,,,,,,,
1999,969.0,,289.0,529.0,,,,1429.0
21999,969.0,,,,,,,
3126,317.0,317.0,,227.0,,,,
1857,301.0,,,,,,,
21857,,,,193.0,,,,
3225,,,,,,,,199.0
1813,,75.0,75.0,75.0,,,,
1815,,583.0,1493.0,,,,,
2262,,25.0,325.0,,,,,
22262,,,,,,325.0,,
1463,,,,,36001.0,36001.0,,
3068,,,,,,,487.0,
23068,,,,,489.0,,,
1826,,,561.0,561.0,1191.0,,1191.0,
111,,,,36001.0,,,,
616,,520.0,520.0,520.0,,,,
21946,,,,36001.0,,,,
3331,36001.0,,36001.0,36001.0,,,,
1864,,,21.0,21.0,,,,
158,,,681.0,1271.0,,,,
23967,171.0,,171.0,171.0,,,,
22866,,,103.0,693.0,,,,
1854,,910.0,,,,,,
917,879.0,879.0,879.0,879.0,,,,
1843,36001.0,,,,,,,
1611,,41.0,,,,,,
21611,990.0,990.0,,990.0,,,,
1506,261.0,261.0,261.0,261.0,,,,
22580,129.0,,,,,,,
3558,,959.0,,,,,,
2625,,953.0,,,,,,
21816,165.0,,,,,,,
31816,165.0,,,,,,,
51816,,163.0,,,,,,
21619,,,,,,,,281.0
31821,,,,293.0,,,,
21865,,,,,,36001.0,,
31865,,,,,,36001.0,,
41865,,,,,,36001.0,,
24761,,,163.0,,,,,
41816,,,785.0,,,,,
24765,,,267.0,,,,,
4545,,,,,,,,
2872,763.0,,133.0,53.0,,,,
2875,36001.0,36001.0,36001.0,36001.0,,,,
2876,630.0,630.0,0.0,0.0,,,,
2884,23.0,,,,,123.0,,123.0
2901,,,,,750.0,,,60.0
2878,253.0,183.0,1143.0,1213.0,,,,
1835,520.0,,160.0,160.0,,,,
1946,,,,,,,,
2896,1432.0,1432.0,,,,242.0,,242.0
2905,,,,207.0,,,,
22905,,,,,,209.0,,
2907,,431.0,371.0,,,,,
2906,295.0,,745.0,,,,,
2904,,,,,,,,
3266,,370.0,,,,,,
2900,,,,,,,,
2899,,,,,,,,129.0
22899,,,,,,,,127.0
1929,,,36001.0,,,,,
793,,,,,,,,36001.0
2895,,36001.0,36001.0,,,,,
2407,,,,,,,303.0,
2897,679.0,199.0,679.0,199.0,,,,
2877,,,,17.0,,,,
2864,,,,,,,,
32864,,,,1055.0,,,,
52864,,,,1055.0,,,,
62864,,,,1055.0,,,,
2867,,,,,359.0,379.0,,
2823,,,,,36001.0,36001.0,36001.0,36001.0
22823,,,,,36001.0,,,
2829,,,,,121.0,191.0,,
3265,,,,,,907.0,,
2910,189.0,,889.0,,,,,
2879,209.0,209.0,269.0,269.0,,,,
2865,493.0,493.0,83.0,83.0,,,,
22865,,,,81.0,,,,
2830,,,,,1207.0,,,707.0
2889,1109.0,1109.0,,,,,,
2902,,,,,,171.0,,
22902,,,,,,171.0,,
32902,,,,,,171.0,,
2817,,,,,,,,467.0
2886,,,,,,19.0,,
2885,,,63.0,63.0,63.0,,63.0,
4781,,,,389.0,,,,
4781,,,,381.0,,,,
2912,,,,429.0,,,,
2871,1117.0,117.0,377.0,,,,,
22871,,,,375.0,,,,
3146,,,,,,,,539.0
2870,989.0,989.0,329.0,549.0,,,,
1921,,,,,,483.0,,
2869,,,207.0,207.0,957.0,,957.0,
2819,,,,,,475.0,,
2822,711.0,711.0,141.0,141.0,,,,
2913,,,,36001.0,,,,
31946,,,,36001.0,,,,
21835,,520.0,160.0,160.0,,,,
21850,,703.0,403.0,403.0,,,,
23331,,36001.0,36001.0,36001.0,,,,
21864,19.0,19.0,19.0,19.0,,,,
20158,,,681.0,681.0,,,,
3967,169.0,169.0,169.0,169.0,,,,
2866,,,101.0,101.0,,,,
458,285.0,285.0,245.0,285.0,,,,
20458,283.0,,283.0,,,,,
32865,493.0,,,,,,,
938,117.0,117.0,377.0,377.0,,,,
20938,119.0,,,,,,,
22864,183.0,,,,,,,
42864,,185.0,,,,,,
22870,327.0,,,,,,,
2862,755.0,755.0,755.0,755.0,,,,
2696,,,,,,187.0,,
2903,,,,,,,,
22903,,,,,,,,
22904,,,,,,,,
4755,,,,350.0,,,,
2117,,,,,267.0,847.0,197.0,1297.0
2638,227.0,,157.0,1007.0,,,,
734,,,,1105.0,,85.0,,
2359,,36001.0,,36001.0,,,,
1971,,,36001.0,,,,,
2382,,,,,,1175.0,,
2582,,,,,,,36001.0,1131.0
932,,,,,,36001.0,36001.0,36001.0
1963,,,,,,15.0,,
2423,561.0,561.0,411.0,511.0,,,,
2374,117.0,117.0,47.0,,,,,
3392,,,,58.0,,,,
1383,,,89.0,,,,,
910,,,1447.0,,,,,
2378,36001.0,36001.0,,,,36001.0,,36001.0
2340,,,36001.0,,,,,
2326,,,36001.0,,,,,
2352,,,36001.0,,,,,
2393,,,,103.0,983.0,283.0,983.0,283.0
2040,,,,,,,,
2349,,,,,0.0,,0.0,1240.0
22349,,,,,,900.0,,
2342,,,,,,1213.0,,
2379,,299.0,,219.0,,,,
186,,,,,,,,
2317,129.0,129.0,919.0,919.0,,,,
22379,,,,,,1041.0,,
1224,293.0,233.0,643.0,643.0,,,,
1225,,,,590.0,,,,
1226,47.0,,427.0,817.0,,,,
1228,,81.0,36001.0,901.0,,,,
1229,,,551.0,,,,,
3930,,,599.0,,,,,
1230,,,597.0,,,,,
1069,257.0,257.0,857.0,857.0,,,,
2264,581.0,181.0,,,,181.0,,581.0
2430,36001.0,36001.0,36001.0,36001.0,,,,
402,,,36001.0,36001.0,36001.0,,36001.0,
401,,,,,345.0,835.0,,
1168,,,,,95.0,,175.0,
21168,,,,,,95.0,,
645,,,,,131.0,,,131.0
646,60.0,,,,,,,
2705,,,36001.0,36001.0,36001.0,,36001.0,
22705,,,,,,36001.0,,
985,,,,,36001.0,36001.0,,36001.0
858,,,,,36001.0,36001.0,36001.0,36001.0
648,,,,,,1237.0,,
20648,,,,,,1237.0,,
30648,,,,,,1235.0,,
40648,,,,,,1237.0,,
412,,,,,1161.0,,,
1086,,,,,,,1173.0,
410,,,,,,287.0,1157.0,287.0
20410,,,,,1157.0,,,
643,,,,,115.0,,,
20643,,,,,,,113.0,
409,,,,,,160.0,1190.0,160.0
